TIME("light stochastic propagator","done") = 0.778 secs
TIME("light stochastic propagator","done") = 0.970 secs
TIME("light stochastic propagator","done") = 1.048 secs
TIME("light stochastic propagator","done") = 1.129 secs
TIME("light stochastic propagator","done") = 0.914 secs
TIME("light stochastic propagator","done") = 1.117 secs
TIME("light stochastic propagator","done") = 0.674 secs
TIME("light stochastic propagator","done") = 1.093 secs
TIME("light stochastic propagator","done") = 1.034 secs
TIME("light stochastic propagator","done") = 0.879 secs
TIME("light stochastic propagator","done") = 0.934 secs
TIME("light stochastic propagator","done") = 1.058 secs
TIME("light stochastic propagator","done") = 1.046 secs
TIME("light stochastic propagator","done") = 0.622 secs
TIME("writing propagator","done") = 0.058 secs
TIME("w_eta_xi","done") = 0.373 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.373 secs
TIME("contract MB-MB","done") = 34.508 secs
TIME("w_eta_xi","done") = 0.383 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.383 secs
TIME("contract MB-MB","done") = 34.098 secs
TIME("w_eta_xi","done") = 0.305 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.305 secs
TIME("contract MB-MB","done") = 34.129 secs
TIME("w_eta_xi","done") = 0.312 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.312 secs
TIME("contract MB-MB","done") = 34.191 secs
TIME("w_eta_xi","done") = 0.378 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.378 secs
TIME("contract MB-MB","done") = 34.319 secs
TIME("w_eta_xi","done") = 0.297 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.298 secs
TIME("contract MB-MB","done") = 34.617 secs
TIME("w_eta_xi","done") = 0.306 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.306 secs
TIME("contract MB-MB","done") = 33.957 secs
TIME("w_eta_xi","done") = 0.353 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.353 secs
TIME("contract MB-MB","done") = 33.663 secs
TIME("writing propagator","done") = 0.018 secs
TIME("light stochastic propagator","done") = 0.857 secs
TIME("light stochastic propagator","done") = 0.991 secs
TIME("light stochastic propagator","done") = 0.752 secs
TIME("light stochastic propagator","done") = 1.073 secs
TIME("light stochastic propagator","done") = 0.721 secs
TIME("light stochastic propagator","done") = 1.084 secs
TIME("light stochastic propagator","done") = 0.991 secs
TIME("light stochastic propagator","done") = 1.039 secs
TIME("light stochastic propagator","done") = 0.739 secs
TIME("light stochastic propagator","done") = 1.080 secs
TIME("light stochastic propagator","done") = 0.656 secs
TIME("light stochastic propagator","done") = 1.072 secs
TIME("light stochastic propagator","done") = 0.755 secs
TIME("light stochastic propagator","done") = 1.046 secs
TIME("light stochastic propagator","done") = 1.050 secs
TIME("light stochastic propagator","done") = 0.949 secs
TIME("writing propagator","done") = 0.019 secs
TIME("w_eta_xi","done") = 0.341 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.341 secs
TIME("contract MB-MB","done") = 33.588 secs
TIME("w_eta_xi","done") = 0.335 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.335 secs
TIME("contract MB-MB","done") = 33.415 secs
TIME("w_eta_xi","done") = 0.310 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.310 secs
TIME("contract MB-MB","done") = 33.630 secs
TIME("w_eta_xi","done") = 0.374 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.374 secs
TIME("contract MB-MB","done") = 34.153 secs
TIME("w_eta_xi","done") = 0.368 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.368 secs
TIME("contract MB-MB","done") = 33.608 secs
TIME("w_eta_xi","done") = 0.362 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.362 secs
TIME("contract MB-MB","done") = 33.501 secs
TIME("w_eta_xi","done") = 0.357 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.357 secs
TIME("contract MB-MB","done") = 33.858 secs
TIME("w_eta_xi","done") = 0.334 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.334 secs
TIME("contract MB-MB","done") = 34.280 secs
TIME("writing propagator","done") = 0.014 secs
TIME("light stochastic propagator","done") = 1.061 secs
TIME("light stochastic propagator","done") = 0.790 secs
TIME("light stochastic propagator","done") = 0.999 secs
TIME("light stochastic propagator","done") = 0.834 secs
TIME("light stochastic propagator","done") = 0.859 secs
TIME("light stochastic propagator","done") = 1.080 secs
TIME("light stochastic propagator","done") = 0.674 secs
TIME("light stochastic propagator","done") = 0.666 secs
TIME("light stochastic propagator","done") = 1.088 secs
TIME("light stochastic propagator","done") = 0.680 secs
TIME("light stochastic propagator","done") = 0.958 secs
TIME("light stochastic propagator","done") = 0.892 secs
TIME("light stochastic propagator","done") = 0.922 secs
TIME("light stochastic propagator","done") = 0.907 secs
TIME("light stochastic propagator","done") = 0.784 secs
TIME("light stochastic propagator","done") = 1.030 secs
TIME("writing propagator","done") = 0.019 secs
TIME("w_eta_xi","done") = 0.323 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.323 secs
TIME("contract MB-MB","done") = 34.710 secs
TIME("w_eta_xi","done") = 0.371 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.371 secs
TIME("contract MB-MB","done") = 33.232 secs
TIME("w_eta_xi","done") = 0.328 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.328 secs
TIME("contract MB-MB","done") = 34.507 secs
TIME("w_eta_xi","done") = 0.377 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.377 secs
TIME("contract MB-MB","done") = 33.685 secs
TIME("w_eta_xi","done") = 0.358 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.358 secs
TIME("contract MB-MB","done") = 33.548 secs
TIME("w_eta_xi","done") = 0.295 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.295 secs
TIME("contract MB-MB","done") = 33.462 secs
TIME("w_eta_xi","done") = 0.366 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.366 secs
TIME("contract MB-MB","done") = 33.592 secs
TIME("w_eta_xi","done") = 0.373 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.373 secs
TIME("contract MB-MB","done") = 33.640 secs
TIME("writing propagator","done") = 0.018 secs
TIME("light stochastic propagator","done") = 0.771 secs
TIME("light stochastic propagator","done") = 1.102 secs
TIME("light stochastic propagator","done") = 0.802 secs
TIME("light stochastic propagator","done") = 1.048 secs
TIME("light stochastic propagator","done") = 0.786 secs
TIME("light stochastic propagator","done") = 1.091 secs
TIME("light stochastic propagator","done") = 0.663 secs
TIME("light stochastic propagator","done") = 1.077 secs
TIME("light stochastic propagator","done") = 1.054 secs
TIME("light stochastic propagator","done") = 1.082 secs
TIME("light stochastic propagator","done") = 1.063 secs
TIME("light stochastic propagator","done") = 1.090 secs
TIME("light stochastic propagator","done") = 0.718 secs
TIME("light stochastic propagator","done") = 1.092 secs
TIME("light stochastic propagator","done") = 0.699 secs
TIME("light stochastic propagator","done") = 1.088 secs
TIME("writing propagator","done") = 0.020 secs
TIME("w_eta_xi","done") = 0.281 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.281 secs
TIME("contract MB-MB","done") = 33.348 secs
TIME("w_eta_xi","done") = 0.383 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.383 secs
TIME("contract MB-MB","done") = 33.025 secs
TIME("w_eta_xi","done") = 0.373 secs
